Subsystem 3	ERR1398068	ERR1398076	ERR1398077	ERR1398085	ERR1398168	ERR1398221	ERR1398078	ERR1398089	ERR1398129	ERR1398206	ERR1398257	ERR1398263
&#945;-Fimbriae	3	0	1	4	3	0	0	0	0	0	0.212121212	0
&#946;-Fimbriae	1	4	0	3	1	0	0	9	0	0	1	0
&#963;-Fimbriae	2	10	0	0	2	0	4	9	0	0	0	0
(GlcNAc)2 Catabolic Operon	6	10	2	0	6	19	2	6	2	4	0	8
2-Ketogluconate Utilization	3.5	11	6.5	2	3.5	0	4.5	18	0	4.5	0	2
2-O-alpha-mannosyl-D-glycerate utilization	8.333333333	20	21.42857143	16.89960317	8.333333333	16.66666667	18.66666667	20.86666667	8.333333333	19.38888889	10.15555556	15.6
2-phosphoglycolate salvage	21.65833333	35.10634921	21.94404762	16.98928571	21.65833333	38.43571429	24.43452381	36.22738095	16.55912698	34.25238095	19.31111111	38.03730159
4-Hydroxyphenylacetic acid catabolic pathway	8.333333333	13.33333333	9.666666667	2.5	8.333333333	0	7.833333333	13.16666667	0	3.5	0	6.333333333
5-FCL-like protein	37.71637807	36.82261905	46.15198413	26.55642136	37.71637807	37.7952381	41.71471861	42.59368687	17.03763736	40.24404762	33.45119048	46.90396825
A DNA integrity scanning protein that co-occurs with RadA	0.5	0.25	0.25	2.333333333	0.5	0.25	1.083333333	0	0	0	2	0.25
A Gammaproteobacteria Cluster Relating to Translation	2.5	7.083333333	4.75	1	2.5	3	8	9.416666667	1	2.333333333	3.25	8.75
A Glutathione-dependent Thiol Reductase Associated with a Step in Lysine Biosynthesis	2	1.5	0.5	1	2	0	2.5	2.333333333	0	0.333333333	0.5	1.833333333
A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins	89.94880952	94.90634921	86.66190476	56.15833333	89.94880952	134.4440476	71.39404762	69.98571429	50.99365079	82.30753968	64.72777778	90.81785714
A Hypothetical Protein Related to Proline Metabolism	16.5	16.16666667	15.41666667	15.08333333	16.5	20.41666667	19.08333333	19.41666667	8.75	19.5	14.41666667	16.75
A TRAP transporter and a hypothetical	2	3	6	2	2	7	4	5.5	1	4	0	3
A conserved operon linked to TyrR and possibly involved in virulence	1.333333333	8	5	3	1.333333333	0	5	8	0	0	3	3
A toxin-antitoxin module cotranscribed with DinB	0	0	0	0	0	0	0	0	0	0	0.5	0
ABC transporter alkylphosphonate (TC 3.A.1.9.1)	16	36	21	6	16	45	14	19	16	28	12	19
ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	182	221	146	59.5	182	273	127	156.5	134	167	76.33333333	158.8333333
ABC transporter dipeptide (TC 3.A.1.5.2)	108.9761905	116.5	131.2	131.8333333	108.9761905	112	169.75	145.1666667	101	103.5714286	97.08333333	121.5833333
ABC transporter of unknown substrate X	1	0	0	0	1	0	4	0	0	0	3	3
ABC transporter oligopeptide (TC 3.A.1.5.1)	302.6	306.6666667	240.7	174.7	302.6	400.5333333	287.45	226.3333333	177.6666667	283	211.9642857	294.1833333
ABC transporter tungstate (TC 3.A.1.6.2)	9.833333333	9	7	4	9.833333333	12	10	4.333333333	5	8.45	1.5	9.5
ABC-type iron transport system	0	3.5	0	0	0	1	1	2	0	0	0	1
ATP-dependent Nuclease	42.30952381	10	34.66666667	40.33333333	42.30952381	56	42	29.06666667	47	35	80.05	64.2
"ATP-dependent RNA helicases, bacterial"	119	139.5	105.5	73.09090909	119	164	109.1666667	97.5	72	141.8333333	65.5	129.6111111
ATP-dependent efflux pump transporter Ybh	15.33333333	20	12	0.125	15.33333333	9	5	30	1	13	8	13
Accessory colonization factor	9	1	7	6	9	0	0	0	0	0	0.5	1
"Acetoin, butanediol metabolism"	93.29444444	53.11666667	86.43333333	59.17777778	93.29444444	112.6833333	86.45	93.31666667	63.08333333	61.16666667	54.32424242	95.71666667
Acetone Butanol Ethanol Synthesis	9.805357143	8.807575758	9	0.6125	9.805357143	7.077777778	1.374242424	2.224242424	1.2625	5.111904762	6.527777778	1.683333333
Acetyl-CoA biosynthesis in plants	0	0	0	0	0	0	0.25	0	0	0	0	0
Acetyl-CoA fermentation to Butyrate	84.56389999	63.36866189	71.48406593	38.3762987	84.56389999	99.25595238	53.12454212	73.08253968	39.08205683	64.8786075	27.2452381	61.33575036
Acyclic terpenes utilization	1.5	0	0	0	1.5	0	0	0	0	0	0	0
Acyl-CoA thioesterase II	0.333333333	2	1.333333333	0	0.333333333	0	1.333333333	4	0	1	0	0.333333333
Adaptation to d-cysteine	2	7.5	4.5	1	2	0.333333333	5	5	0	4	1.5	3
Adenosyl nucleosidases	38.90119048	31.10952381	30.325	10.01666667	38.90119048	48.04285714	32.825	25.58333333	23.46666667	29.91666667	12.21666667	27.83333333
Adhesins in Staphylococcus	0.1	0	1.071428571	1	0.1	3	0.5	0.076923077	0	0	0.076923077	0.576923077
Adhesion of Campylobacter	35	16	33	21	35	33	40	37	23	22	41	29
Alanine biosynthesis	70.43071096	65.25912698	54.37852148	35.06939449	70.43071096	87.81340188	52.33867244	50.96273449	26.76825397	58.85808081	46.70800866	57.04708429
Alginate metabolism	44.5	19	33.5	26.5	44.5	51.66666667	24.5	23	12.33333333	42.58333333	27.33333333	41.25
Alkaloid biosynthesis from L-lysine	2.333333333	0.5	1.833333333	1.142857143	2.333333333	2.5	1.666666667	0	0.125	1.333333333	0	2
Alkanesulfonate assimilation	63.1	51	68.95833333	54.11428571	63.1	77.4	61.56025641	63.16666667	49.83333333	67.76666667	45.83333333	66.30757576
